Unnamed: 0,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier,match_id,home_rank_date_used,home_rank,home_previous_rank,home_rank_change,home_total_points,home_previous_points,away_rank_date_used,away_rank,away_previous_rank,away_rank_change,away_total_points,away_previous_points,rank_advantage,points_diff,home_elo,away_elo,elo_advantage,result,home_form_sma3,home_form_sma5,home_form_sma7,home_form_ema50,home_form_ema33,home_form_ema25,away_form_sma3,away_form_sma5,away_form_sma7,away_form_ema50,away_form_ema33,away_form_ema25,form_diff_sma3,form_diff_sma5,form_diff_sma7,form_diff_ema50,form_diff_ema33,form_diff_ema25,home_strength_adjusted_margin_ema33,away_strength_adjusted_margin_ema33,strength_adjusted_margin_diff_ema33
25,2022-02-01,Bolivia,Chile,2.0,3.0,FIFA World Cup qualification,La Paz,Bolivia,0,2022,0,1,25,2021-12-23,77.0,77.0,0.0,1324.21,1324.21,2021-12-23,24.0,24.0,0.0,1543.42,1541.33,-53.0,-219.21000000000004,1582.0,1813.0,-231.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64,-0.62,-2.02
23,2022-02-01,Japan,Saudi Arabia,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,0,2022,0,1,23,2021-12-23,26.0,26.0,0.0,1531.53,1531.53,2021-12-23,51.0,48.0,-3.0,1434.71,1441.17,25.0,96.81999999999994,1760.0,1629.0,131.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.43999999999999995,0.6000000000000001
22,2022-02-01,Vietnam,China PR,3.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2022,0,1,22,2021-12-23,98.0,99.0,1.0,1212.54,1209.22,2021-12-23,74.0,74.0,0.0,1337.33,1337.33,-24.0,-124.78999999999996,1425.0,1473.0,-48.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74,-1.04,-1.7000000000000002
21,2022-02-01,Syria,South Korea,0.0,2.0,FIFA World Cup qualification,Dubai,United Arab Emirates,1,2022,0,1,21,2021-12-23,86.0,85.0,-1.0,1268.54,1269.96,2021-12-23,33.0,33.0,0.0,1507.24,1507.24,-53.0,-238.70000000000005,1481.0,1788.0,-307.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.66,-0.24,-1.42
20,2022-02-01,Iran,United Arab Emirates,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2022,0,1,20,2021-12-23,21.0,21.0,0.0,1557.58,1557.58,2021-12-23,69.0,70.0,1.0,1350.39,1350.41,48.0,207.18999999999983,1837.0,1474.0,363.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000007,1.66,-1.74
19,2022-02-01,Lebanon,Iraq,1.0,1.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1,19,2021-12-23,95.0,94.0,-1.0,1233.0,1233.76,2021-12-23,75.0,75.0,0.0,1333.03,1335.58,-20.0,-100.02999999999996,1407.0,1551.0,-144.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.08000000000000007,0.15999999999999992
24,2022-02-01,Oman,Australia,2.0,2.0,FIFA World Cup qualification,Muscat,Oman,0,2022,0,1,24,2021-12-23,79.0,78.0,-1.0,1306.01,1307.09,2021-12-23,35.0,35.0,0.0,1484.88,1484.88,-44.0,-178.87000000000012,1496.0,1735.0,-239.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.43999999999999995,2.74,-3.18
33,2022-02-02,Jamaica,Costa Rica,0.0,1.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1,33,2021-12-23,57.0,57.0,0.0,1412.13,1412.13,2021-12-23,49.0,49.0,0.0,1437.43,1437.43,-8.0,-25.299999999999955,1578.0,1743.0,-165.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.6666666666666667,0.75,-1.5,-1.5,-1.5,-1.5,-1.6666666666666667,-1.75,-0.19764705882352943,0.7188235294117646,-0.916470588235294
30,2022-02-02,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1,30,2021-12-23,14.0,14.0,0.0,1638.3,1638.76,2021-12-23,63.0,63.0,0.0,1379.34,1379.34,49.0,258.96000000000004,1839.0,1627.0,212.0,1,0.5,0.5,0.5,0.5,0.6666666666666667,0.75,0.0,0.0,0.0,0.0,-0.3333333333333335,-0.5,0.5,0.5,0.5,0.5,1.0000000000000002,1.25,0.09058823529411766,-0.6117647058823529,0.7023529411764705
31,2022-02-02,El Salvador,Canada,0.0,2.0,FIFA World Cup qualification,San Salvador,El Salvador,0,2022,0,1,31,2021-12-23,70.0,69.0,-1.0,1349.47,1350.63,2021-12-23,40.0,40.0,0.0,1462.32,1462.32,-30.0,-112.84999999999992,1466.0,1784.0,-318.0,-1,0.0,0.0,0.0,0.0,-0.3333333333333335,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.3333333333333337,-1.5,0.2799999999999999,1.3564705882352943,-1.0764705882352943
32,2022-02-02,United States,Honduras,3.0,0.0,FIFA World Cup qualification,Saint Paul,United States,0,2022,0,1,32,2021-12-23,11.0,12.0,1.0,1648.51,1647.14,2021-12-23,76.0,76.0,0.0,1332.16,1332.16,65.0,316.3499999999999,1858.0,1604.0,254.0,1,0.0,0.0,0.0,0.0,0.3333333333333335,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.3333333333333337,1.5,-0.32117647058823523,-1.315294117647059,0.9941176470588238
