date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier,match_id,home_rank_date_used,home_rank,home_previous_rank,home_rank_change,home_total_points,home_previous_points,away_rank_date_used,away_rank,away_previous_rank,away_rank_change,away_total_points,away_previous_points,rank_advantage,points_diff,result,home_elo_date_used,home_elo_rank,home_elo,home_elo_avg_rank,home_elo_avg_rating,home_elo_matches_total,home_elo_wins,home_elo_losses,home_elo_draws,home_elo_goals_for,home_elo_goals_against,home_is_host,away_elo_date_used,away_elo_rank,away_elo,away_elo_avg_rank,away_elo_avg_rating,away_elo_matches_total,away_elo_wins,away_elo_losses,away_elo_draws,away_elo_goals_for,away_elo_goals_against,away_is_host,elo_advantage,elo_rank_advantage,elo_avg_rating_advantage,elo_win_rate_home,elo_win_rate_away,elo_win_rate_advantage,home_elo_was_filled,away_elo_was_filled
2022-02-01,Argentina,Colombia,1.0,0.0,FIFA World Cup qualification,Córdoba,Argentina,0,2022,0,1,27,2021-12-23,5.0,5.0,0.0,1750.51,1750.51,2021-12-23,16.0,16.0,0.0,1607.15,1607.15,11.0,143.3599999999999,1,2021-12-31,3.0,2101.0,5.0,1982.0,1056.0,568.0,223.0,265.0,1991.0,1112.0,0.0,2021-12-31,13.0,1904.0,51.0,1603.0,598.0,235.0,196.0,167.0,752.0,700.0,0.0,197.0,10.0,379.0,0.5378787878787878,0.3929765886287625,0.1449021992500253,0,0
2022-02-01,Peru,Ecuador,1.0,1.0,FIFA World Cup qualification,Lima,Peru,0,2022,0,1,28,2021-12-23,22.0,22.0,0.0,1551.15,1551.15,2021-12-23,46.0,46.0,0.0,1448.27,1448.74,24.0,102.88000000000012,0,2020-11-17,,1792.0,,,,,,,,,,2021-12-31,16.0,1849.0,67.0,1507.0,548.0,164.0,246.0,138.0,670.0,871.0,0.0,-57.0,,,,0.2992700729927007,,1,0
2022-02-01,Brazil,Paraguay,4.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,0,2022,0,1,29,2021-12-23,2.0,2.0,0.0,1826.35,1826.35,2021-12-23,43.0,43.0,0.0,1454.52,1454.52,41.0,371.8299999999999,1,2021-12-31,1.0,2149.0,4.0,1996.0,1017.0,645.0,161.0,211.0,2201.0,909.0,0.0,2021-12-31,37.0,1729.0,23.0,1755.0,745.0,262.0,285.0,198.0,965.0,1065.0,0.0,420.0,36.0,241.0,0.6342182890855457,0.3516778523489933,0.2825404367365524,0,0
2022-02-02,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1,30,2021-12-23,14.0,14.0,0.0,1638.3,1638.76,2021-12-23,63.0,63.0,0.0,1379.34,1379.34,49.0,258.96000000000004,1,2021-12-31,19.0,1839.0,20.0,1781.0,953.0,496.0,241.0,216.0,1719.0,988.0,1.0,2021-12-31,57.0,1627.0,102.0,1344.0,523.0,165.0,231.0,127.0,633.0,821.0,0.0,212.0,38.0,437.0,0.5204616998950682,0.3154875717017208,0.2049741281933473,0,0
2022-02-02,El Salvador,Canada,0.0,2.0,FIFA World Cup qualification,San Salvador,El Salvador,0,2022,0,1,31,2021-12-23,70.0,69.0,-1.0,1349.47,1350.63,2021-12-23,40.0,40.0,0.0,1462.32,1462.32,-30.0,-112.84999999999992,-1,2021-03-28,,1466.0,,,,,,,,,,2021-12-31,29.0,1784.0,49.0,1591.0,431.0,163.0,170.0,98.0,543.0,567.0,1.0,-318.0,,,,0.3781902552204176,,1,0
2022-02-02,United States,Honduras,3.0,0.0,FIFA World Cup qualification,Saint Paul,United States,0,2022,0,1,32,2021-12-23,11.0,12.0,1.0,1648.51,1647.14,2021-12-23,76.0,76.0,0.0,1332.16,1332.16,65.0,316.3499999999999,1,2021-12-31,14.0,1858.0,41.0,1636.0,757.0,334.0,265.0,158.0,1124.0,1001.0,1.0,2021-03-28,,1604.0,,,,,,,,,,254.0,,,0.4412153236459709,,,0,1
2022-02-02,Jamaica,Costa Rica,0.0,1.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1,33,2021-12-23,57.0,57.0,0.0,1412.13,1412.13,2021-12-23,49.0,49.0,0.0,1437.43,1437.43,-8.0,-25.299999999999955,-1,2021-06-07,,1578.0,,,,,,,,,,2018-03-27,,1743.0,,,,,,,,,,-165.0,,,,,,1,1
2022-03-18,Papua New Guinea,New Zealand,0.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,35,2022-02-10,165.0,165.0,0.0,990.55,990.55,2022-02-10,111.0,110.0,-1.0,1161.66,1165.81,-54.0,-171.11000000000013,-1,2017-03-23,,1098.0,,,,,,,,,,2021-12-31,73.0,1528.0,66.0,1497.0,396.0,162.0,162.0,72.0,684.0,604.0,0.0,-430.0,,,,0.4090909090909091,,1,0
2022-03-18,New Caledonia,Fiji,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,36,2022-02-10,153.0,153.0,0.0,1035.12,1035.12,2022-02-10,162.0,161.0,-1.0,996.27,996.27,9.0,38.84999999999991,-1,2018-11-17,,1219.0,,,,,,,,,,2019-06-10,,1236.0,,,,,,,,,,-17.0,,,,,,1,1
2022-03-21,Papua New Guinea,New Caledonia,1.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,37,2022-02-10,165.0,165.0,0.0,990.55,990.55,2022-02-10,153.0,153.0,0.0,1035.12,1035.12,-12.0,-44.569999999999936,1,2017-03-23,,1098.0,,,,,,,,,,2018-11-17,,1219.0,,,,,,,,,,-121.0,,,,,,1,1
2022-03-21,New Zealand,Fiji,4.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,38,2022-02-10,111.0,110.0,-1.0,1161.66,1165.81,2022-02-10,162.0,161.0,-1.0,996.27,996.27,51.0,165.3900000000001,1,2021-12-31,73.0,1528.0,66.0,1497.0,396.0,162.0,162.0,72.0,684.0,604.0,0.0,2019-06-10,,1236.0,,,,,,,,,,292.0,,,0.4090909090909091,,,0,1
2022-03-24,Vietnam,Oman,0.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2022,0,1,39,2022-02-10,98.0,98.0,0.0,1218.55,1212.54,2022-02-10,79.0,79.0,0.0,1301.0,1306.01,-19.0,-82.45000000000005,-1,2021-06-07,,1425.0,,,,,,,,,,2021-06-07,,1496.0,,,,,,,,,,-71.0,,,,,,1,1
2022-03-24,Portugal,Turkey,3.0,1.0,FIFA World Cup qualification,Porto,Portugal,0,2022,0,1,40,2022-02-10,8.0,8.0,0.0,1660.25,1660.25,2022-02-10,39.0,37.0,-2.0,1472.72,1472.72,31.0,187.53,1,2021-12-31,8.0,1972.0,19.0,1788.0,642.0,311.0,180.0,151.0,1092.0,738.0,0.0,2021-12-31,39.0,1726.0,43.0,1603.0,622.0,236.0,237.0,149.0,857.0,905.0,0.0,246.0,31.0,185.0,0.484423676012461,0.3794212218649517,0.1050024541475093,0,0
2022-03-24,Italy,North Macedonia,0.0,1.0,FIFA World Cup qualification,Palermo,Italy,0,2022,0,1,41,2022-02-10,6.0,6.0,0.0,1740.77,1740.77,2022-02-10,67.0,67.0,0.0,1367.23,1367.23,61.0,373.54,-1,2021-03-28,,2006.0,,,,,,,,,,2021-03-28,,1562.0,,,,,,,,,,444.0,,,,,,1,1
2022-03-24,Uruguay,Peru,1.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,0,2022,0,1,42,2022-02-10,16.0,17.0,1.0,1614.05,1596.66,2022-02-10,22.0,22.0,0.0,1563.45,1551.15,6.0,50.59999999999991,1,2021-12-31,17.0,1847.0,12.0,1874.0,969.0,422.0,312.0,235.0,1537.0,1221.0,0.0,2020-11-17,,1792.0,,,,,,,,,,55.0,,,0.435500515995872,,,0,1
2022-03-24,Paraguay,Ecuador,3.0,1.0,FIFA World Cup qualification,Ciudad del Este,Paraguay,0,2022,0,1,43,2022-02-10,50.0,43.0,-7.0,1440.53,1454.52,2022-02-10,44.0,46.0,2.0,1458.63,1448.27,-6.0,-18.100000000000136,1,2021-12-31,37.0,1729.0,23.0,1755.0,745.0,262.0,285.0,198.0,965.0,1065.0,0.0,2021-12-31,16.0,1849.0,67.0,1507.0,548.0,164.0,246.0,138.0,670.0,871.0,0.0,-120.0,-21.0,248.0,0.3516778523489933,0.2992700729927007,0.0524077793562925,0,0
2022-03-24,Brazil,Chile,4.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,0,2022,0,1,44,2022-02-10,2.0,2.0,0.0,1823.42,1826.35,2022-02-10,26.0,24.0,-2.0,1543.16,1543.42,24.0,280.26,1,2021-12-31,1.0,2149.0,4.0,1996.0,1017.0,645.0,161.0,211.0,2201.0,909.0,0.0,2020-11-17,,1813.0,,,,,,,,,,336.0,,,0.6342182890855457,,,0,1
2022-03-24,Colombia,Bolivia,3.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2022,0,1,45,2022-02-10,19.0,16.0,-3.0,1585.89,1607.15,2022-02-10,76.0,77.0,1.0,1308.12,1324.21,57.0,277.7700000000002,1,2021-12-31,13.0,1904.0,51.0,1603.0,598.0,235.0,196.0,167.0,752.0,700.0,0.0,2020-11-17,,1582.0,,,,,,,,,,322.0,,,0.3929765886287625,,,0,1
2022-03-24,New Zealand,New Caledonia,7.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,46,2022-02-10,111.0,110.0,-1.0,1161.66,1165.81,2022-02-10,153.0,153.0,0.0,1035.12,1035.12,42.0,126.5400000000002,1,2021-12-31,73.0,1528.0,66.0,1497.0,396.0,162.0,162.0,72.0,684.0,604.0,0.0,2022-03-21,,1220.0,,,,,,,,,,308.0,,,0.4090909090909091,,,0,1
2022-03-24,Fiji,Papua New Guinea,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1,47,2022-02-10,162.0,161.0,-1.0,996.27,996.27,2022-02-10,165.0,165.0,0.0,990.55,990.55,3.0,5.720000000000027,-1,2022-03-21,,1250.0,,,,,,,,,,2022-03-21,,1173.0,,,,,,,,,,77.0,,,,,,1,1
