,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier
104,2022-11-22,France,Australia,4.0,1.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
105,2022-11-22,Denmark,Tunisia,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
106,2022-11-22,Mexico,Poland,0.0,0.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
107,2022-11-22,Argentina,Saudi Arabia,1.0,2.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
108,2022-11-23,Germany,Japan,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
109,2022-11-23,Spain,Costa Rica,7.0,0.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
110,2022-11-23,Morocco,Croatia,0.0,0.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
111,2022-11-23,Belgium,Canada,1.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
112,2022-11-24,Portugal,Ghana,3.0,2.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
113,2022-11-24,Uruguay,South Korea,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
114,2022-11-24,Brazil,Serbia,2.0,0.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
115,2022-11-24,Switzerland,Cameroon,1.0,0.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
116,2022-11-25,Qatar,Senegal,1.0,3.0,FIFA World Cup,Doha,Qatar,0,2022,1,0
117,2022-11-25,Netherlands,Ecuador,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
118,2022-11-25,Wales,Iran,0.0,2.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
119,2022-11-25,England,United States,0.0,0.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
120,2022-11-26,Poland,Saudi Arabia,2.0,0.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
121,2022-11-26,Argentina,Mexico,2.0,0.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
122,2022-11-26,Tunisia,Australia,0.0,1.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
123,2022-11-26,France,Denmark,2.0,1.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
124,2022-11-27,Japan,Costa Rica,0.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
125,2022-11-27,Spain,Germany,1.0,1.0,FIFA World Cup,Al Khor,Qatar,1,2022,1,0
126,2022-11-27,Belgium,Morocco,0.0,2.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
127,2022-11-27,Croatia,Canada,4.0,1.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
128,2022-11-28,Portugal,Uruguay,2.0,0.0,FIFA World Cup,Lusail,Qatar,1,2022,1,0
129,2022-11-28,South Korea,Ghana,2.0,3.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
130,2022-11-28,Brazil,Switzerland,1.0,0.0,FIFA World Cup,Doha,Qatar,1,2022,1,0
131,2022-11-28,Cameroon,Serbia,3.0,3.0,FIFA World Cup,Al Wakrah,Qatar,1,2022,1,0
132,2022-11-29,Ecuador,Senegal,1.0,2.0,FIFA World Cup,Al Rayyan,Qatar,1,2022,1,0
133,2022-11-29,Qatar,Netherlands,0.0,2.0,FIFA World Cup,Al Khor,Qatar,0,2022,1,0
